Date,Close,HMM_Regime,HMM_Prob_0,HMM_Prob_1,HMM_Prob_2
2005-03-11,1200.0799560546875,0,0.999999999992724,8.63177302512266e-12,8.498133792892166e-212
2005-03-14,1206.8299560546875,1,0.37562195723071135,0.6243780427701036,6.462294480072658e-17
2005-03-15,1197.75,1,0.058012045647865086,0.941982817816174,5.1365375047627375e-06
2005-03-16,1188.0699462890625,1,0.0007285949730144203,0.9992643347901896,7.07023842870561e-06
2005-03-17,1190.2099609375,1,1.632956022923464e-05,0.9999778343973109,5.836043093837258e-06
2005-03-18,1189.6500244140625,1,2.6737571066177746e-05,0.9999486203481255,2.4642080427801208e-05
2005-03-21,1183.780029296875,1,9.274831389778412e-06,0.9999833174561015,7.407712122569215e-06
2005-03-22,1171.7099609375,1,1.4763317902512178e-07,0.9999857548751238,1.4097493371067986e-05
2005-03-23,1172.530029296875,1,9.282212791252155e-07,0.9999862083864802,1.2863391270859525e-05
2005-03-24,1171.4200439453125,1,5.826264087355953e-07,0.9999935148435919,5.902529059976443e-06
2005-03-25,1171.4200439453125,1,4.119692906704909e-07,0.9999935620169582,6.026012463026492e-06
2005-03-28,1174.280029296875,1,5.669972071895054e-07,0.9999926410325969,6.791969445493647e-06
2005-03-29,1165.3599853515625,1,1.9392196516852699e-07,0.9999833629118894,1.644316728813814e-05
2005-03-30,1181.4100341796875,1,2.085090932320358e-08,0.9999705804692238,2.939867983929391e-05
2005-03-31,1180.5899658203125,1,2.906933801375322e-06,0.9999858060862232,1.1286979121633851e-05
2005-04-01,1172.9200439453125,1,3.805070900754875e-07,0.9999892004490163,1.0419043544786352e-05
2005-04-04,1176.1199951171875,1,2.111155293699921e-07,0.9999899093854554,9.87949919734343e-06
2005-04-05,1181.3900146484375,1,4.74869834252667e-07,0.999992352030091,7.1731016656947055e-06
2005-04-06,1184.0699462890625,1,2.8763772668874945e-06,0.9999914464972077,5.677125701996496e-06
2005-04-07,1191.1400146484375,1,2.5479725403831202e-05,0.9999676241061621,6.896168985947035e-06
2005-04-08,1181.199951171875,1,4.5467402475096945e-06,0.9999878536701616,7.599590414868404e-06
2005-04-11,1181.2099609375,1,5.343649940663047e-06,0.9999892668668803,5.389483455551631e-06
2005-04-12,1187.760009765625,1,1.1015909474492299e-05,0.9999819675165477,7.016574653263094e-06
2005-04-13,1173.7900390625,1,1.0399376686464886e-06,0.9999881372981365,1.0822765402419392e-05
2005-04-14,1162.050048828125,1,6.060948340319007e-08,0.999985071898221,1.4867492086003449e-05
2005-04-15,1142.6199951171875,1,4.05897848438278e-12,0.9999271857767762,7.281421809238238e-05
2005-04-18,1145.97998046875,1,1.4039645109547038e-12,0.9999676989078633,3.2301091249720366e-05
2005-04-19,1152.780029296875,1,1.4083049506760944e-11,0.9999772102687821,2.2789718876469838e-05
